X,Y,OBJECTID,FULLNAME,NAME,ENTRANCENAME,ALIAS1,ALIAS2,JURISDICTION,ADDRESS,Address2,URL,PHONE,ARTSCENTER,BALLFIELDS,BOATRENTAL,CANOE,DISCGOLF,DOGPARK,ENVCTR,FISHING,GREENWAYACCESS,GYM,MULTIPURPOSEFIELD,OUTDOORBASKETBALL,PICNICSHELTER,PLAYGROUND,POOL,COMMUNITYCENTER,NEIGHBORHOODCENTER,TENNISCOURTS,TRACK,WALKINGTRAILS,RESTROOMS,Lat,Lon,Notes,AMUSEMENTTRAIN,CAROUSEL,TENNISCENTER,THEATER,BOCCE,HANDBALL,HORSESHOE,INLINESKATING,SANDVOLLEYBALL,SKATEPARK,ACTIVE_ADULT,BMXTRACK,BOATRIDE,LIBRARY,MUSEUM,TEEN,BIKING,LIVEANIMALS,GARDENS,EQUESTRIAN,VEHICLEENTRANCE,GREENWAYENTRANCE,PEDESTRIANENTRANCE,PARKINGSTREET,PARKINGLOT,CAMPING
-78.9239834036967,35.7998078080659,11,American Tobacco Trail - Montvale Ridge Dr Greenway Entrance,American Tobacco Trail,Montvale Ridge Dr Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
-78.9223689904038,35.7944960251148,12,American Tobacco Trail - Morrisville Pkwy Greenway Entrance,American Tobacco Trail,Morrisville Pkwy Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
-78.9468957839827,35.7143791369885,13,American Tobacco Trail - New Hill Entrance,American Tobacco Trail - New Hill Entrance,New Hill Entrance,,,Wake County,"1309 New Hill-Olive Chapel Road, Apex, NC 27502","1309 New Hill-Olive Chapel Road, Apex, NC 27502",https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,35.714336,-78.946984,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,
-78.9314095882596,35.728893468738,14,American Tobacco Trail - Olive Chapel Rd Greenway Entrance,American Tobacco Trail,Olive Chapel Rd Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
-78.9201477974751,35.7911360439253,15,American Tobacco Trail - Piershill Ln Greenway Entrance,American Tobacco Trail,Piershill Ln Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
-78.9257819788365,35.8008222233572,16,American Tobacco Trail - Weldon Ridge Greenway Entrance,American Tobacco Trail,Weldon Ridge Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
-78.9217867140584,35.7641011334236,17,American Tobacco Trail - White Oak Creek Greenway Entrance,American Tobacco Trail,White Oak Creek Greenway Entrance,,,Wake County,,,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,
-78.9230649991875,35.7862536411501,18,American Tobacco Trail - White Oak Entrance,American Tobacco Trail - White Oak Entrance,White Oak Entrance,,,Wake County,"1305 White Oak Church Road, Apex, NC 27523",,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,
-78.9209215702055,35.7608290065684,19,American Tobacco Trail - Wimberly Rd Entrance,American Tobacco Trail - Wimberly Rd Entrance,Wimberly Rd Entrance,,,Wake County,"1017 Wimberly Road, Apex, NC 27502","1017 Wimberly Road, Apex, NC 27502",https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/american-tobacco-trail,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,35.760054,-78.920102,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,
-78.5428373977596,35.7728345193213,20,Anderson Point Park - Anderson Point Dr Entrance,Anderson Point Park,Anderson Point Dr Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",https://raleighnc.gov/places/anderson-point-park,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.77088681,-78.54201053,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,No,Yes,
-78.5468557970428,35.7729152158703,21,Anderson Point Park - Greenway Entrance,Anderson Point Park,Greenway Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",https://raleighnc.gov/places/anderson-point-park,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.77088681,-78.54201053,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No,
-78.5411188819724,35.7665068897004,22,Anderson Point Park - Greenway Entrance,Anderson Point Park,Greenway Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",https://raleighnc.gov/places/anderson-point-park,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.77088681,-78.54201053,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No,
-78.5401005455237,35.7726411987186,23,Anderson Point Park - Pedestrian Entrance,Anderson Point Park,Pedestrian Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",https://raleighnc.gov/places/anderson-point-park,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.77088681,-78.54201053,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.5432487428139,35.7749042855152,24,Anderson Point River Access - Anderson Point Dr Entrance,Anderson Point River Access,Anderson Point Dr Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://raleighnc.gov/places/anderson-point-park,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,Yes,Yes,Yes,No,Yes,
-78.5431373670761,35.7746377978448,25,Anderson Point River Access - Greenway Entrance,Anderson Point River Access,Greenway Entrance,Neuse River Trail Access,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://raleighnc.gov/places/anderson-point-park,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,No,Yes,Yes,No,No,
-78.5428687187984,35.7736056777654,26,Anderson Point River Access - Greenway Entrance,Anderson Point River Access,Greenway Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://raleighnc.gov/places/anderson-point-park,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,No,Yes,Yes,No,No,
-78.5404399761899,35.7734549687171,27,Anderson Point River Access - Pedestrian Entrance,Anderson Point River Access,Pedestrian Entrance,,,City of Raleigh,"20 Anderson Point Dr, Raleigh, NC",,https://raleighnc.gov/places/anderson-point-park,919-996-2144,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,No,,,,No,No,Yes,No,No,
-78.8143575643285,35.7613893814541,28,Annie L. Jones Park - Greenway Entrance,Annie L. Jones Park,Greenway Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,No,Yes,Yes,No,No,
-78.8136444527415,35.7603935661344,29,Annie L. Jones Park - Greenway Entrance,Annie L. Jones Park,Greenway Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,No,Yes,Yes,No,No,
-78.8114410427977,35.7605119094713,30,Annie L. Jones Park - Pedestrian Entrance,Annie L. Jones Park,Pedestrian Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,No,No,Yes,No,No,
-78.8134313001548,35.7604470630805,31,Annie L. Jones Park - Tarbert Dr Entrance,Annie L. Jones Park,Tarbert Dr Entrance,,,Town of Cary,"1414 Tarbert Drive, Cary, NC","1414 Tarbert Drive, Cary, NC",http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,35.761226,-78.813001,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,,Yes,Yes,Yes,No,Yes,
-78.6008997747803,35.9289654809286,32,"Annie Louise Wilkerson, MD Nature Preserve Park - Pedestrian Entrance","Annie Louise Wilkerson, MD Nature Preserve Park",Pedestrian Entrance,,,City of Raleigh,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",https://raleighnc.gov/places/annie-louise-wilkerson-md-nature-preserve-park,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.92209582,-78.59883657,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.5956616469836,35.921514418973,33,"Annie Louise Wilkerson, MD Nature Preserve Park - Pedestrian Entrance","Annie Louise Wilkerson, MD Nature Preserve Park",Pedestrian Entrance,,,City of Raleigh,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",https://raleighnc.gov/places/annie-louise-wilkerson-md-nature-preserve-park,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.92209582,-78.59883657,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.5993706590138,35.9189950023135,34,"Annie Louise Wilkerson, MD Nature Preserve Park - Raven Ridge Rd Entrance","Annie Louise Wilkerson, MD Nature Preserve Park",Raven Ridge Rd Entrance,,,City of Raleigh,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",https://raleighnc.gov/places/annie-louise-wilkerson-md-nature-preserve-park,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.92209582,-78.59883657,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
-78.8462830181115,35.7349280114296,35,Apex Community Center - Hunter St Entrance,Apex Community Center,Hunter St Entrance,,,Town of Apex,53 Hunter Street,,https://www.apexnc.org/453/Community-Center-Programs,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
-78.8454204457414,35.7332421117528,36,Apex Community Center - N Mason St Entrance,Apex Community Center,N Mason St Entrance,,,Town of Apex,53 Hunter Street,,https://www.apexnc.org/453/Community-Center-Programs,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
-78.8483808115114,35.7339677284132,37,Apex Community Center - Pedestrian Entrance,Apex Community Center,Pedestrian Entrance,,,Town of Apex,53 Hunter Street,,https://www.apexnc.org/453/Community-Center-Programs,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.8470596135581,35.7334968253309,38,Apex Community Center - Pedestrian Entrance,Apex Community Center,Pedestrian Entrance,,,Town of Apex,53 Hunter Street,,https://www.apexnc.org/453/Community-Center-Programs,919-249-3402,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,35.733917,-78845943,,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.8285830743141,35.756495746731,39,Apex Community Park - Greenway Entrance,Apex Community Park,Greenway Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,No,No,
-78.8286202565061,35.754615881315,40,Apex Community Park - Laura Duncan Rd Entrance,Apex Community Park,Laura Duncan Rd Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
-78.8149807028283,35.7487357828485,41,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.8286514479158,35.7531246706088,42,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.8243021256256,35.7490807702991,43,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.8263666683574,35.7510680275534,44,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.8199607287001,35.7467628028764,45,Apex Community Park - Pedestrian Entrance,Apex Community Park,Pedestrian Entrance,Lake Pine,,Town of Apex,"2200 Laura Duncan Rd., Apex, NC","1808 Lake Pine Dr., Apex, NC",http://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,35.75461,-78.828518,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.8159595975528,35.7467567278214,46,Apex Community Park (Lake Pine)- Lake Pine Dr Entrance,Apex Community Park (Lake Trail),Lake Pine Dr Entrance,Lake Pine,,Town of Apex,2101 Lake Pine Drive,1808 Lake Pine Drive,https://www.apexnc.org/795/Apex-Community-Park,919-249-3402,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,35.746843,-78.815963,,No,,,,,,,,,,,,,,,,Yes,,,,Yes,No,Yes,No,Yes,
-78.8664622413824,35.7293937311816,47,Apex Jaycee Park - Pedestrian Entrance,Apex Jaycee Park,Pedestrian Entrance,,,Town of Apex,451 W Williams St,"451 NC HWY 55, Apex, NC",https://www.apexnc.org/797/Apex-Jaycee-Park,919-249-3402,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,35.7316289999999,-78.8605709999999,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
-78.8606349988391,35.7315366741923,48,Apex Jaycee Park - W Williams St Entrance,Apex Jaycee Park,W Williams St Entrance,,,Town of Apex,451 W Williams St,"451 NC HWY 55, Apex, NC",https://www.apexnc.org/797/Apex-Jaycee-Park,919-249-3402,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,35.7316289999999,-78.8605709999999,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
-78.9052036808787,35.7170964623357,49,Apex Nature Park - Evans Rd Entrance,Apex Nature Park,Evans Rd Entrance,Seymour Athletic Fields,,Town of Apex,"2600 Evans Rd., Apex, NC","2500 Evans Rd., Apex, NC",https://www.apexnc.org/800/Nature-Park-Seymour-Athletic-Fields,919-249-3402,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.717099,-78.905361,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,No,Yes,No,Yes,
-78.9012381610277,35.7214279085712,50,Apex Nature Park - Pedestrian Entrance,Apex Nature Park,Pedestrian Entrance,Seymour Athletic Fields,,Town of Apex,"2600 Evans Rd., Apex, NC","2500 Evans Rd., Apex, NC",https://www.apexnc.org/800/Nature-Park-Seymour-Athletic-Fields,919-249-3402,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.717099,-78.905361,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,Yes,No,No,
